post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_gender,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:product_banner,meta:total_sales,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
"Product 4 - Red, S",product-2-s-red-3,174,186,"Color: Red, Size: S",,publish,,12,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Red,S,,,,,,
"Product 4 - Red, XL",product-2-xl-red-3,174,187,"Color: Red, Size: XL",,publish,,13,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Red,XL,,,,,,
"Product 4 - Red, XXL",product-2-xxl-red-3,174,188,"Color: Red, Size: XXL",,publish,,14,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Red,XXL,,,,,,
"Product 4 - White, L",product-2-l-white-3,174,189,"Color: White, Size: L",,publish,,15,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,White,L,,,,,,
"Product 4 - White, M",product-2-m-white-3,174,190,"Color: White, Size: M",,publish,,16,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,White,M,,,,,,
"Product 4 - White, S",product-2-s-white-3,174,191,"Color: White, Size: S",,publish,,17,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,White,S,,,,,,
"Product 4 - White, XL",product-2-xl-white-3,174,192,"Color: White, Size: XL",,publish,,18,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,White,XL,,,,,,
"Product 4 - White, XXL",product-2-xxl-white-3,174,193,"Color: White, Size: XXL",,publish,,19,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,White,XXL,,,,,,
"Product 4 - Blue, L",product-2-l-blue-3,174,194,"Color: Blue, Size: L",,publish,,20,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Blue,L,,,,,,
"Product 4 - Blue, S",product-2-s-blue-3,174,195,"Color: Blue, Size: S",,publish,,21,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Blue,S,,,,,,
"Product 4 - Blue, XXL",product-2-xxl-blue-3,174,196,"Color: Blue, Size: XXL",,publish,,22,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Blue,XXL,,,,,,
"Product 4 - Green, L",product-2-l-green-3,174,197,"Color: Green, Size: L",,publish,,23,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Green,L,,,,,,
"Product 4 - Green, S",product-2-s-green-3,174,198,"Color: Green, Size: S",,publish,,24,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Green,S,,,,,,
"Product 4 - Green, XXL",product-2-xxl-green-3,174,199,"Color: Green, Size: XXL",,publish,,25,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,0,,Green,XXL,,,,,,
"Product 5",product-5,,212,,,publish,,0,"2021-06-22 06:40:50",1,open,,,,,no,no,196,7,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/rec2.jpg ! alt :  ! title : rec2 ! desc :  ! caption : ",,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,"Champion|Custom Maid|Gemsli|Hanes|Maidenform|Peridot|Playtex",,variable,,"Clothing &amp; Accessories > Boys > Socks > Athletic Socks|Clothing &amp; Accessories > Baby > Baby Boys|Clothing &amp; Accessories > Women > Socks &amp; Hosiery > Hosiery|Clothing &amp; Accessories > Women > Plus > Socks &amp; Hosiery > Hosiery|Clothing &amp; Accessories > Men > Socks",,,,1,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,Black|Blue|Green|Red|White,0|1|1,,L|M|S|XL|XXL,1|1|1,
"Product 5 - Black, L",product-2-l-black-4,212,213,"Color: Black, Size: L",,publish,,1,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,8,7,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Black,L,,,,,,
"Product 5 - Black, M",product-2-m-black-4,212,214,"Color: Black, Size: M",,publish,,2,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Black,M,,,,,,
"Product 5 - Black, S",product-2-s-black-4,212,215,"Color: Black, Size: S",,publish,,3,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Black,S,,,,,,
"Product 5 - Black, XL",product-2-xl-black-4,212,216,"Color: Black, Size: XL",,publish,,4,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Black,XL,,,,,,
"Product 5 - Black, XXL",product-2-xxl-black-4,212,217,"Color: Black, Size: XXL",,publish,,5,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Black,XXL,,,,,,
"Product 5 - Blue, M",product-2-m-blue-4,212,218,"Color: Blue, Size: M",,publish,,6,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Blue,M,,,,,,
"Product 5 - Blue, XL",product-2-xl-blue-4,212,219,"Color: Blue, Size: XL",,publish,,7,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Blue,XL,,,,,,
"Product 5 - Green, M",product-2-m-green-4,212,220,"Color: Green, Size: M",,publish,,8,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Green,M,,,,,,
"Product 5 - Green, XL",product-2-xl-green-4,212,221,"Color: Green, Size: XL",,publish,,9,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Green,XL,,,,,,
"Product 5 - Red, L",product-2-l-red-4,212,222,"Color: Red, Size: L",,publish,,10,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Red,L,,,,,,
"Product 5 - Red, M",product-2-m-red-4,212,223,"Color: Red, Size: M",,publish,,11,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Red,M,,,,,,
"Product 5 - Red, S",product-2-s-red-4,212,224,"Color: Red, Size: S",,publish,,12,"2021-06-22 06:40:50",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Red,S,,,,,,
"Product 5 - Red, XL",product-2-xl-red-4,212,225,"Color: Red, Size: XL",,publish,,13,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Red,XL,,,,,,
"Product 5 - Red, XXL",product-2-xxl-red-4,212,226,"Color: Red, Size: XXL",,publish,,14,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Red,XXL,,,,,,
"Product 5 - White, L",product-2-l-white-4,212,227,"Color: White, Size: L",,publish,,15,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,White,L,,,,,,
"Product 5 - White, M",product-2-m-white-4,212,228,"Color: White, Size: M",,publish,,16,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,White,M,,,,,,
"Product 5 - White, S",product-2-s-white-4,212,229,"Color: White, Size: S",,publish,,17,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,White,S,,,,,,
"Product 5 - White, XL",product-2-xl-white-4,212,230,"Color: White, Size: XL",,publish,,18,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,White,XL,,,,,,
"Product 5 - White, XXL",product-2-xxl-white-4,212,231,"Color: White, Size: XXL",,publish,,19,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,White,XXL,,,,,,
"Product 5 - Blue, L",product-2-l-blue-4,212,232,"Color: Blue, Size: L",,publish,,20,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Blue,L,,,,,,
"Product 5 - Blue, S",product-2-s-blue-4,212,233,"Color: Blue, Size: S",,publish,,21,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Blue,S,,,,,,
"Product 5 - Blue, XXL",product-2-xxl-blue-4,212,234,"Color: Blue, Size: XXL",,publish,,22,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Blue,XXL,,,,,,
"Product 5 - Green, L",product-2-l-green-4,212,235,"Color: Green, Size: L",,publish,,23,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Green,L,,,,,,
"Product 5 - Green, S",product-2-s-green-4,212,236,"Color: Green, Size: S",,publish,,24,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Green,S,,,,,,
"Product 5 - Green, XXL",product-2-xxl-green-4,212,237,"Color: Green, Size: XXL",,publish,,25,"2021-06-22 06:40:51",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-5/,,,,,,,,,0,,Green,XXL,,,,,,
"Product 6",product-6,,238,,,publish,,0,"2021-06-22 06:41:22",1,open,,,,,no,no,196,7,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/rec1.jpg ! alt :  ! title : rec1 ! desc :  ! caption : ",,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,"Bali|Champion|Fruit of the Loom|Hanes|Maidenform|Playtex",Men|Women,variable,,"Clothing &amp; Accessories > Baby > Baby Boys|Clothing &amp; Accessories > Women > Socks &amp; Hosiery > Hosiery|Clothing &amp; Accessories > Women > Plus > Socks &amp; Hosiery > Hosiery",,,,0,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,Black|Blue|Green|Red|White,0|1|1,,L|M|S|XL|XXL,1|1|1,
"Product 6 - Black, L",product-2-l-black-5,238,239,"Color: Black, Size: L",,publish,,1,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,8,7,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Black,L,,,,,,
"Product 6 - Black, M",product-2-m-black-5,238,240,"Color: Black, Size: M",,publish,,2,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Black,M,,,,,,
"Product 6 - Black, S",product-2-s-black-5,238,241,"Color: Black, Size: S",,publish,,3,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Black,S,,,,,,
"Product 6 - Black, XL",product-2-xl-black-5,238,242,"Color: Black, Size: XL",,publish,,4,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Black,XL,,,,,,
"Product 6 - Black, XXL",product-2-xxl-black-5,238,243,"Color: Black, Size: XXL",,publish,,5,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Black,XXL,,,,,,
"Product 6 - Blue, M",product-2-m-blue-5,238,244,"Color: Blue, Size: M",,publish,,6,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Blue,M,,,,,,
"Product 6 - Blue, XL",product-2-xl-blue-5,238,245,"Color: Blue, Size: XL",,publish,,7,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Blue,XL,,,,,,
"Product 6 - Green, M",product-2-m-green-5,238,246,"Color: Green, Size: M",,publish,,8,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Green,M,,,,,,
"Product 6 - Green, XL",product-2-xl-green-5,238,247,"Color: Green, Size: XL",,publish,,9,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Green,XL,,,,,,
"Product 6 - Red, L",product-2-l-red-5,238,248,"Color: Red, Size: L",,publish,,10,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Red,L,,,,,,
"Product 6 - Red, M",product-2-m-red-5,238,249,"Color: Red, Size: M",,publish,,11,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Red,M,,,,,,
"Product 6 - Red, S",product-2-s-red-5,238,250,"Color: Red, Size: S",,publish,,12,"2021-06-22 06:41:22",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Red,S,,,,,,
"Product 6 - Red, XL",product-2-xl-red-5,238,251,"Color: Red, Size: XL",,publish,,13,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Red,XL,,,,,,
"Product 6 - Red, XXL",product-2-xxl-red-5,238,252,"Color: Red, Size: XXL",,publish,,14,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Red,XXL,,,,,,
"Product 6 - White, L",product-2-l-white-5,238,253,"Color: White, Size: L",,publish,,15,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,White,L,,,,,,
"Product 6 - White, M",product-2-m-white-5,238,254,"Color: White, Size: M",,publish,,16,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,White,M,,,,,,
"Product 6 - White, S",product-2-s-white-5,238,255,"Color: White, Size: S",,publish,,17,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,White,S,,,,,,
"Product 6 - White, XL",product-2-xl-white-5,238,256,"Color: White, Size: XL",,publish,,18,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,White,XL,,,,,,
"Product 6 - White, XXL",product-2-xxl-white-5,238,257,"Color: White, Size: XXL",,publish,,19,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,White,XXL,,,,,,
"Product 6 - Blue, L",product-2-l-blue-5,238,258,"Color: Blue, Size: L",,publish,,20,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Blue,L,,,,,,
"Product 6 - Blue, S",product-2-s-blue-5,238,259,"Color: Blue, Size: S",,publish,,21,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Blue,S,,,,,,
"Product 6 - Blue, XXL",product-2-xxl-blue-5,238,260,"Color: Blue, Size: XXL",,publish,,22,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Blue,XXL,,,,,,
"Product 6 - Green, L",product-2-l-green-5,238,261,"Color: Green, Size: L",,publish,,23,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Green,L,,,,,,
"Product 6 - Green, S",product-2-s-green-5,238,262,"Color: Green, Size: S",,publish,,24,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Green,S,,,,,,
"Product 6 - Green, XXL",product-2-xxl-green-5,238,263,"Color: Green, Size: XXL",,publish,,25,"2021-06-22 06:41:23",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-6/,,,,,,,,,0,,Green,XXL,,,,,,
"Product 7",product-7,,264,,,publish,,0,"2021-06-22 06:41:58",1,open,,,,,no,no,196,7,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/rec3.jpg ! alt :  ! title : rec3 ! desc :  ! caption : ",,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,Bali,Kids|Women,variable,,"Clothing &amp; Accessories > Boys > Socks > Athletic Socks|Clothing &amp; Accessories > Baby > Baby Boys|Clothing &amp; Accessories > Women > Socks &amp; Hosiery > Hosiery|Clothing &amp; Accessories > Women > Plus > Socks &amp; Hosiery > Hosiery|Women > Tops",,,,0,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,Black|Blue|Green|Red|White,0|1|1,,L|M|S|XL|XXL,1|1|1,
"Product 7 - Black, L",product-2-l-black-6,264,265,"Color: Black, Size: L",,publish,,1,"2021-06-22 06:41:58",1,closed,,,,,no,no,0,8,7,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,,,,,,,,,0,,Black,L,,,,,,
"Product 7 - Black, M",product-2-m-black-6,264,266,"Color: Black, Size: M",,publish,,2,"2021-06-22 06:41:58",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,,,,,,,,,0,,Black,M,,,,,,
"Product 7 - Black, S",product-2-s-black-6,264,267,"Color: Black, Size: S",,publish,,3,"2021-06-22 06:41:58",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,,,,,,,,,0,,Black,S,,,,,,
"Product 7 - Black, XL",product-2-xl-black-6,264,268,"Color: Black, Size: XL",,publish,,4,"2021-06-22 06:41:58",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,,,,,,,,,0,,Black,XL,,,,,,
"Product 7 - Black, XXL",product-2-xxl-black-6,264,269,"Color: Black, Size: XXL",,publish,,5,"2021-06-22 06:41:58",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,,,,,,,,,0,,Black,XXL,,,,,,
"Product 7 - Blue, M",product-2-m-blue-6,264,270,"Color: Blue, Size: M",,publish,,6,"2021-06-22 06:41:59",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,,,,,,,,,0,,Blue,M,,,,,,
"Product 7 - Blue, XL",product-2-xl-blue-6,264,271,"Color: Blue, Size: XL",,publish,,7,"2021-06-22 06:41:59",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,,,,,,,,,0,,Blue,XL,,,,,,
"Product 7 - Green, M",product-2-m-green-6,264,272,"Color: Green, Size: M",,publish,,8,"2021-06-22 06:41:59",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-7/,,,,,,,,,0,,Green,M,,,,,,
