post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_gender,tax:product_collection,tax:product_productline,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:msrp_field,meta:product_banner,meta:product_style,meta:total_sales,meta:upc_field,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:BigAndTall,attribute_data:BigAndTall,attribute_default:BigAndTall,attribute:BraType,attribute_data:BraType,attribute_default:BraType,attribute:Closure,attribute_data:Closure,attribute_default:Closure,attribute:ControlLevel,attribute_data:ControlLevel,attribute_default:ControlLevel,attribute:CountryOfOrigin,attribute_data:CountryOfOrigin,attribute_default:CountryOfOrigin,attribute:Fabric,attribute_data:Fabric,attribute_default:Fabric,attribute:InnerPackQty,attribute_data:InnerPackQty,attribute_default:InnerPackQty,attribute:Inseam,attribute_data:Inseam,attribute_default:Inseam,attribute:NeckDesign,attribute_data:NeckDesign,attribute_default:NeckDesign,attribute:Silhouette,attribute_data:Silhouette,attribute_default:Silhouette,attribute:SleeveStyle,attribute_data:SleeveStyle,attribute_default:SleeveStyle,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
"Product 2 - White, 3XL",product-2-3xl-white,26,864,"Color: White, Size: 3XL",,publish,,45,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,White,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - White, 4XL",product-2-4xl-white,26,865,"Color: White, Size: 4XL",,publish,,46,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,White,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - White, XS",product-2-xs-white,26,866,"Color: White, Size: XS",,publish,,47,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,6,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,White,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Yellow, 2XL",product-2-2xl-yellow,26,867,"Color: Yellow, Size: 2XL",,publish,,48,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Yellow,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Yellow, 3XL",product-2-3xl-yellow,26,868,"Color: Yellow, Size: 3XL",,publish,,49,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Yellow,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Yellow, 4XL",product-2-4xl-yellow,26,869,"Color: Yellow, Size: 4XL",,publish,,50,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Yellow,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Black, L",product-2-l-black,26,90,"Color: Black, Size: L",,publish,,51,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,8,7,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Black,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Black, M",product-2-m-black,26,91,"Color: Black, Size: M",,publish,,52,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,outofstock,,,,,,,0,,,Black,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Black, S",product-2-s-black,26,92,"Color: Black, Size: S",,publish,,53,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Black,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Black, XL",product-2-xl-black,26,93,"Color: Black, Size: XL",,publish,,54,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Black,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Black, XXL",product-2-xxl-black,26,94,"Color: Black, Size: XXL",,publish,,55,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Black,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Blue, M",product-2-m-blue,26,95,"Color: Blue, Size: M",,publish,,56,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Blue,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Blue, XL",product-2-xl-blue,26,96,"Color: Blue, Size: XL",,publish,,57,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Blue,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Green, M",product-2-m-green,26,97,"Color: Green, Size: M",,publish,,58,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Green,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Green, XL",product-2-xl-green,26,98,"Color: Green, Size: XL",,publish,,59,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Green,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Red, L",product-2-l-red,26,99,"Color: Red, Size: L",,publish,,60,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Red,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Red, M",product-2-m-red,26,100,"Color: Red, Size: M",,publish,,61,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Red,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Red, S",product-2-s-red,26,101,"Color: Red, Size: S",,publish,,62,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Red,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Red, XL",product-2-xl-red,26,102,"Color: Red, Size: XL",,publish,,63,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Red,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Red, XXL",product-2-xxl-red,26,103,"Color: Red, Size: XXL",,publish,,64,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Red,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - White, L",product-2-l-white,26,104,"Color: White, Size: L",,publish,,65,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,White,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - White, M",product-2-m-white,26,105,"Color: White, Size: M",,publish,,66,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,White,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - White, S",product-2-s-white,26,106,"Color: White, Size: S",,publish,,67,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,White,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - White, XL",product-2-xl-white,26,107,"Color: White, Size: XL",,publish,,68,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,White,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - White, XXL",product-2-xxl-white,26,108,"Color: White, Size: XXL",,publish,,69,"2021-06-21 14:14:31",1,closed,,HK25674,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,White,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Blue, L",product-2-l-blue,26,33,"Color: Blue, Size: L",,publish,,70,"2021-06-15 14:16:36",1,closed,,HK25674,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Blue,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Blue, S",product-2-s-blue,26,34,"Color: Blue, Size: S",,publish,,71,"2021-06-15 14:16:36",1,closed,,HK25674,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Blue,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Blue, XXL",product-2-xxl-blue,26,35,"Color: Blue, Size: XXL",,publish,,72,"2021-06-15 14:16:36",1,closed,,HK25674,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Blue,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Green, L",product-2-l-green,26,36,"Color: Green, Size: L",,publish,,73,"2021-06-15 14:16:36",1,closed,,HK25674,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Green,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Green, S",product-2-s-green,26,37,"Color: Green, Size: S",,publish,,74,"2021-06-15 14:16:36",1,closed,,HK25674,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Green,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 2 - Green, XXL",product-2-xxl-green,26,38,"Color: Green, Size: XXL",,publish,,75,"2021-06-15 14:16:36",1,closed,,HK25674,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,,,,,0,,,Green,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3",product-3,,147,,,publish,,0,"2021-06-22 05:32:27",1,open,,,,,no,no,194,7,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/rec1.jpg ! alt :  ! title : rec1 ! desc :  ! caption : ",,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,"Champion|Hanes|Hanes Hosiery|Maidenform|Playtex",,,,variable,,"Women > Bottoms > Leggings",,,,,,3,,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black|Blue|Green|Red|White,0|1|1,,L|M|S|XL|XXL,1|1|1,
"Product 3 - Black, L",product-2-l-black-2,147,148,"Color: Black, Size: L",,publish,,1,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,8,7,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Black,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Black, M",product-2-m-black-2,147,149,"Color: Black, Size: M",,publish,,2,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Black,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Black, S",product-2-s-black-2,147,150,"Color: Black, Size: S",,publish,,3,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Black,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Black, XL",product-2-xl-black-2,147,151,"Color: Black, Size: XL",,publish,,4,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Black,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Black, XXL",product-2-xxl-black-2,147,152,"Color: Black, Size: XXL",,publish,,5,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Black,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Blue, M",product-2-m-blue-2,147,153,"Color: Blue, Size: M",,publish,,6,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Blue,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Blue, XL",product-2-xl-blue-2,147,154,"Color: Blue, Size: XL",,publish,,7,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Blue,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Green, M",product-2-m-green-2,147,155,"Color: Green, Size: M",,publish,,8,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Green,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Green, XL",product-2-xl-green-2,147,156,"Color: Green, Size: XL",,publish,,9,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Green,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Red, L",product-2-l-red-2,147,157,"Color: Red, Size: L",,publish,,10,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Red,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Red, M",product-2-m-red-2,147,158,"Color: Red, Size: M",,publish,,11,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Red,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Red, S",product-2-s-red-2,147,159,"Color: Red, Size: S",,publish,,12,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Red,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Red, XL",product-2-xl-red-2,147,160,"Color: Red, Size: XL",,publish,,13,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Red,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Red, XXL",product-2-xxl-red-2,147,161,"Color: Red, Size: XXL",,publish,,14,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Red,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - White, L",product-2-l-white-2,147,162,"Color: White, Size: L",,publish,,15,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,White,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - White, M",product-2-m-white-2,147,163,"Color: White, Size: M",,publish,,16,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,White,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - White, S",product-2-s-white-2,147,164,"Color: White, Size: S",,publish,,17,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,White,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - White, XL",product-2-xl-white-2,147,165,"Color: White, Size: XL",,publish,,18,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,White,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - White, XXL",product-2-xxl-white-2,147,166,"Color: White, Size: XXL",,publish,,19,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,White,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Blue, L",product-2-l-blue-2,147,167,"Color: Blue, Size: L",,publish,,20,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Blue,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Blue, S",product-2-s-blue-2,147,168,"Color: Blue, Size: S",,publish,,21,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Blue,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Blue, XXL",product-2-xxl-blue-2,147,169,"Color: Blue, Size: XXL",,publish,,22,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Blue,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Green, L",product-2-l-green-2,147,170,"Color: Green, Size: L",,publish,,23,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,13,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Green,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Green, S",product-2-s-green-2,147,171,"Color: Green, Size: S",,publish,,24,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Green,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 3 - Green, XXL",product-2-xxl-green-2,147,172,"Color: Green, Size: XXL",,publish,,25,"2021-06-22 05:32:27",1,closed,,,,,no,no,0,15,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-3/,,,,,,,,,,,,,0,,,Green,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 4",product-4,,174,,,publish,,0,"2021-06-22 05:33:22",1,open,,,,,no,no,197,7,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/rec2.jpg ! alt :  ! title : rec2 ! desc :  ! caption : ",,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,Bali|Champion|Hanes|Maidenform|Playtex,,,,variable,,Uncategorized|Boys,,,,,,0,,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black|Blue|Green|Red|White,0|1|1,,L|M|S|XL|XXL,1|1|1,
"Product 4 - Black, L",product-2-l-black-3,174,175,"Color: Black, Size: L",,publish,,1,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,8,7,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,,,,,0,,,Black,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 4 - Black, M",product-2-m-black-3,174,176,"Color: Black, Size: M",,publish,,2,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,,,,,0,,,Black,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Product 4 - Black, S",product-2-s-black-3,174,177,"Color: Black, Size: S",,publish,,3,"2021-06-22 05:33:22",1,closed,,,,,no,no,0,11,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-4/,,,,,,,,,,,,,0,,,Black,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
